year_month,total_patients_served,total_encounters,inpatient_encounters,emergency_encounters,average_length_of_stay_minutes,total_claim_cost,total_payer_coverage,total_patient_responsibility,readmission_count_30_day,readmission_rate_30_day
2020-05,8,12,0,1,95.62777777777778,40810.90,24305.84,16505.06,0,0E-20
2020-06,8,8,0,0,25.893750000000004,12793.82,8149.11,4644.71,0,
2020-07,8,9,0,1,42.550000000000004,26867.52,23022.11,3845.41,0,0E-20
2020-08,7,13,0,1,94.33974358974359,40233.70,28721.37,11512.33,0,0E-20
2020-09,7,10,0,1,41.263333333333335,69332.00,40278.57,29053.43,0,0E-20
2020-10,12,21,1,2,2697.0769841269835,69559.49,65600.03,3959.46,0,0E-20
2020-11,10,16,0,1,77.00625000000001,34974.83,20890.06,14084.77,0,0E-20
2020-12,17,22,0,1,52.34090909090908,46285.08,39566.06,6719.02,0,0E-20
2021-01,10,13,0,1,107.67820512820514,67547.48,57140.79,10406.69,0,0E-20
2021-02,14,16,0,2,3679.7916666666665,45670.19,40927.44,4742.75,0,0E-20
2021-03,13,17,0,0,472.83235294117645,55263.64,44702.09,10561.55,0,
2021-04,21,32,0,2,49.90260416666666,53218.44,42995.40,10223.04,0,0E-20
2021-05,19,27,0,2,61.17283950617284,107151.53,75100.06,32051.47,0,0E-20
2021-06,13,15,0,0,50.41888888888889,39947.77,35937.79,4009.98,0,
2021-07,13,14,0,2,44.40714285714286,25682.51,12561.91,13120.60,0,0E-20
2021-08,12,17,0,1,62.7921568627451,44516.28,35617.42,8898.86,0,0E-20
2021-09,8,8,0,1,39.572916666666664,23018.82,20602.70,2416.12,0,0E-20
2021-10,13,13,0,1,47.975641025641025,45008.57,42932.08,2076.49,0,0E-20
2021-11,17,19,0,2,28.54035087719298,41603.51,36428.95,5174.56,0,0E-20
2021-12,15,18,0,1,39.480555555555554,60909.90,53144.63,7765.27,0,0E-20
2022-01,16,18,0,1,56.56944444444444,57232.75,44507.52,12725.23,0,0E-20
2022-02,12,14,1,0,224.9761904761905,54168.51,50073.55,4094.96,0,0E-20
2022-03,13,16,0,0,63.92395833333334,42098.33,34420.55,7677.78,0,
2022-04,9,11,0,0,78.9090909090909,40954.23,31237.75,9716.48,0,
2022-05,9,13,0,1,86.16153846153846,42532.65,32897.16,9635.49,0,0E-20
2022-06,7,8,0,1,68.82708333333333,63119.75,50462.68,12657.07,0,0E-20
2022-07,12,19,0,0,67.5140350877193,54413.82,26512.80,27901.02,0,
2022-08,8,11,0,0,104.20757575757578,30341.95,16696.01,13645.94,0,
2022-09,5,6,0,1,43.105555555555554,27077.96,24203.60,2874.36,0,0E-20
2022-10,10,12,0,2,80.34722222222221,55374.46,42838.76,12535.70,0,0E-20
2022-11,7,9,0,1,67.80185185185185,32328.90,21297.20,11031.70,0,0E-20
2022-12,12,19,0,0,195.95877192982456,82215.37,60878.57,21336.80,0,
2023-01,8,11,1,1,469.76666666666665,67166.27,55498.94,11667.33,0,0E-20
2023-02,14,16,0,2,72.453125,106856.35,78237.27,28619.08,0,0E-20
2023-03,14,23,0,1,1305.7181159420288,83791.26,67019.19,16772.07,0,0E-20
2023-04,11,13,0,1,43.526923076923076,62427.96,43771.84,18656.12,0,0E-20
2023-05,15,24,0,1,53.232638888888886,62230.75,55132.15,7098.60,0,0E-20
2023-06,9,16,0,1,48.71041666666667,42353.86,40972.29,1381.57,0,0E-20
2023-07,11,13,0,0,58.12051282051282,34748.57,28512.48,6236.09,0,
2023-08,13,18,0,0,82.2101851851852,51236.30,27691.59,23544.71,0,
2023-09,7,9,0,1,6624.177777777779,61252.24,55884.31,5367.93,0,0E-20
2023-10,8,9,0,1,68.2925925925926,38438.25,35469.79,2968.46,0,0E-20
2023-11,9,12,1,0,911.9861111111113,29739.38,18489.45,11249.93,0,0E-20
2023-12,11,15,0,0,96.21444444444445,34748.17,16250.87,18497.30,0,
2024-01,10,16,0,1,40.398958333333326,48579.33,43831.14,4748.19,0,0E-20
2024-02,11,15,0,0,27.1,14221.13,9413.08,4808.05,0,
2024-03,14,19,0,0,61.22719298245614,45186.69,31462.60,13724.09,0,
2024-04,10,11,0,1,33.05,86623.70,52519.93,34103.77,0,0E-20
2024-05,11,12,0,0,26.343055555555555,20266.74,9996.13,10270.61,0,
2024-06,12,21,0,0,66.23968253968255,63829.65,47150.63,16679.02,0,
2024-07,9,10,0,1,38.00500000000001,44648.37,39917.40,4730.97,0,0E-20
2024-08,11,15,1,1,2064.383333333333,45335.84,41344.74,3991.10,0,0E-20
2024-09,8,10,0,0,82.67833333333333,76090.83,68276.64,7814.19,0,0E-20
2024-10,11,16,1,1,126.02187500000001,78507.79,68385.01,10122.78,0,0E-20
2024-11,10,13,1,2,389.6,30743.19,22828.62,7914.57,1,0.33333333333333333333
2024-12,17,19,0,2,53.5640350877193,25458.34,14921.26,10537.08,0,0E-20
2025-01,17,23,0,1,111.64420289855072,56420.80,46905.73,9515.07,0,0E-20
2025-02,14,16,0,0,44.94479166666667,43325.74,37491.09,5834.65,0,
2025-03,8,13,0,1,54.14615384615385,41928.66,28715.62,13213.04,0,0E-20
2025-04,11,12,0,1,94.86805555555556,31612.91,25355.68,6257.23,0,0E-20
2025-05,10,15,0,1,49.86666666666667,64651.33,38923.98,25727.35,0,0E-20
2025-06,9,16,0,1,955.671875,49750.07,45254.01,4496.06,0,0E-20
2025-07,10,13,0,2,1606.975641025641,42339.58,40512.17,1827.41,1,0.50000000000000000000
2025-08,14,21,1,0,1693.98253968254,82185.11,61284.88,20900.23,0,
2025-09,10,13,0,0,62.87948717948718,69617.05,65545.21,4071.84,0,0E-20
2025-10,9,13,0,1,61.142307692307696,43854.12,39076.88,4777.24,0,0E-20
2025-11,6,6,0,0,42.74722222222223,12068.80,9431.94,2636.86,0,
2025-12,15,16,0,1,66.21458333333332,31016.94,20176.47,10840.47,0,0E-20
2026-01,15,21,0,0,90.58809523809525,49976.25,34065.39,15910.86,0,
2026-02,9,11,0,1,44.46060606060606,24789.79,19225.30,5564.49,0,0E-20
2026-03,11,15,0,1,50.15222222222222,28336.27,24668.52,3667.75,0,0E-20
2026-04,12,18,0,0,63.88055555555555,37465.39,28696.53,8768.86,0,
2026-05,9,15,0,1,924.9711111111109,40711.34,31343.67,9367.67,0,0E-20
2026-06,15,18,0,0,52.10462962962963,33185.98,25083.55,8102.43,0,
2026-07,9,12,0,1,80.95972222222223,30183.39,25103.93,5079.46,0,0E-20
